,start_freq,end_freq,probability,index
0,1860.5140686035156,1860.5255126953125,0.665,120.0
1,1859.7702026367188,1859.7816467285156,0.742,510.0
2,1859.5527648925781,1859.564208984375,0.532,624.0
3,1859.381103515625,1859.3925476074219,0.55,714.0
4,1856.817626953125,1856.8290710449219,0.63,2058.0
5,1856.6688537597656,1856.6802978515625,0.635,2136.0
6,1856.3026428222656,1856.3140869140625,0.65,2328.0
7,1851.7707824707031,1851.7822265625,0.868,4704.0
8,1848.6808776855469,1848.6923217773438,0.66,6324.0
9,1848.5321044921875,1848.5435485839844,0.518,6402.0
10,1848.3489990234375,1848.3604431152344,0.504,6498.0
11,1842.9588317871094,1842.9702758789062,0.75,9324.0
12,1837.4198913574219,1837.4313354492188,0.892,12228.0
13,1836.5158081054688,1836.5272521972656,0.749,12702.0
14,1832.6019287109375,1832.6133728027344,0.642,14754.0
15,1831.4804077148438,1831.4918518066406,0.547,15342.0
16,1820.4139709472656,1820.4254150390625,0.555,21144.0
17,1817.7360534667969,1817.7474975585938,0.54,22548.0
18,1817.1180725097656,1817.1295166015625,0.562,22872.0
19,1816.9692993164062,1816.9807434082031,0.59,22950.0
20,1814.4058227539062,1814.4172668457031,0.589,24294.0
21,1798.6473083496094,1798.6587524414062,0.554,32556.0
22,1923.468017578125,1923.4794616699219,0.602,42.0
23,1923.4451293945312,1923.4565734863281,0.697,54.0
24,1923.4107971191406,1923.4222412109375,0.728,72.0
25,1923.3993530273438,1923.4107971191406,0.728,78.0
26,1923.3421325683594,1923.3535766601562,0.616,108.0
27,1923.3192443847656,1923.3306884765625,0.606,120.0
28,1923.3078002929688,1923.3192443847656,0.659,126.0
29,1923.2620239257812,1923.2734680175781,0.502,150.0
30,1923.2505798339844,1923.2620239257812,0.771,156.0
31,1923.2391357421875,1923.2505798339844,0.776,162.0
32,1923.2276916503906,1923.2391357421875,0.618,168.0
33,1923.2048034667969,1923.2162475585938,0.808,180.0
34,1923.1819152832031,1923.193359375,0.781,192.0
35,1923.1590270996094,1923.1704711914062,0.654,204.0
36,1923.1132507324219,1923.1246948242188,0.698,228.0
37,1923.0903625488281,1923.101806640625,0.737,240.0
