,start_freq,end_freq,probability,index
0,1072.7149502137017,1072.7265644357037,0.627,3924.0
1,1068.580287180996,1068.591901402998,0.51,6060.0
2,1068.1970178549307,1068.2086320769326,0.601,6258.0
3,1067.8718196388752,1067.8834338608772,0.502,6426.0
4,1067.25626587277,1067.267880094772,0.503,6744.0
5,1064.4107814822844,1064.4223957042864,0.512,8214.0
6,1062.866089956021,1062.877704178023,0.577,9012.0
7,1062.3550641879335,1062.3666784099355,0.556,9276.0
8,1052.6804172602824,1052.6920314822844,0.503,14274.0
9,1034.6203020472003,1034.631916269202,0.632,23604.0
10,1026.966529747894,1026.9781439698959,0.643,27558.0
11,1025.5728231076562,1025.5844373296582,0.518,28278.0
12,1129.634074578791,1129.6456888007929,0.525,3654.0
13,1125.0,1125.011614222002,0.531,6048.0
14,1124.965157333994,1124.976771555996,0.639,6066.0
15,1122.4913280475719,1122.5029422695739,0.645,7344.0
16,1117.6133548067394,1117.6249690287414,0.662,9864.0
17,1116.9165014866205,1116.9281157086225,0.566,10224.0
18,1116.6726028245787,1116.6842170465807,0.753,10350.0
19,1112.3753406838455,1112.3869549058475,0.628,12570.0
20,1107.6948092170467,1107.7064234390486,0.57,14988.0
21,1097.2420094152626,1097.2536236372646,0.528,20388.0
22,1093.792585480674,1093.804199702676,0.717,22170.0
23,1087.6951189296333,1087.7067331516353,0.661,25320.0
24,1081.5744239345886,1081.5860381565906,0.514,28482.0
25,1191.9770406188059,1191.9886548408078,0.684,582.0
26,1187.5520220360506,1187.5636362580526,0.876,2868.0
27,1187.5287935920467,1187.5404078140486,0.514,2880.0
28,1187.4823367040387,1187.4939509260407,0.77,2904.0
29,1187.4707224820368,1187.4823367040387,0.614,2910.0
30,1185.391776743682,1185.403390965684,0.61,3984.0
31,1183.4870443353568,1183.4986585573588,0.511,4968.0
32,1178.783284424554,1178.794898646556,0.562,7398.0
33,1178.0748168824332,1178.0864311044352,0.509,7764.0
34,1162.8021149498265,1162.8137291718285,0.595,15654.0
35,1157.935755930996,1157.947370152998,0.671,18168.0
36,1155.8335817486372,1155.8451959706392,0.651,19254.0
37,1154.2540475563676,1154.2656617783696,0.508,20070.0
38,1146.4376761490337,1146.4492903710357,0.562,24108.0
39,1144.9858983987858,1144.9975126207878,0.827,24858.0
40,1143.3482930965065,1143.3599073185085,0.559,25704.0
41,1141.687459350223,1141.699073572225,0.638,26562.0
42,1140.8512353660803,1140.8628495880823,0.657,26994.0
43,1246.0274521494055,1246.0390663714074,0.522,1794.0
44,1240.5106966984638,1240.5223109204658,0.539,4644.0
45,1239.6280158263132,1239.6396300483152,0.513,5100.0
46,1238.1994665200693,1238.2110807420713,0.539,5838.0
47,1237.9787963020317,1237.9904105240337,0.689,5952.0
48,1237.5258416439544,1237.5374558659564,0.523,6186.0
49,1228.9313173624876,1228.9429315844895,0.517,10626.0
50,1224.773425885778,1224.7850401077799,0.701,12774.0
51,1223.0893636954906,1223.1009779174926,0.611,13644.0
52,1223.0661352514867,1223.0777494734887,0.674,13656.0
53,1220.139351306987,1220.150965528989,0.529,15168.0
54,1218.0952482346383,1218.1068624566403,0.51,16224.0
55,1213.031447441774,1213.043061663776,0.525,18840.0
56,1210.37179060332,1210.383404825322,0.695,20214.0
57,1200.11643257557,1200.1280467975719,0.632,25512.0
58,1196.051454874876,1196.063069096878,0.666,27612.0
59,1194.9481037846879,1194.9597180066899,0.641,28182.0
60,1305.8036751269822,1305.8152893489842,0.674,48.0
61,1305.281035136893,1305.292649358895,0.564,318.0
62,1305.257806692889,1305.269420914891,0.598,330.0
63,1305.234578248885,1305.246192470887,0.625,342.0
64,1304.3635115987363,1304.3751258207383,0.665,792.0
65,1303.0743329565164,1303.0859471785184,0.523,1458.0
66,1301.2625143242071,1301.274128546209,0.606,2394.0
67,1298.207973937686,1298.2195881596879,0.522,3972.0
68,1292.877046038776,1292.888660260778,0.52,6726.0
69,1290.5774300823834,1290.5890443043854,0.651,7914.0
70,1279.1722640764372,1279.1838782984391,0.659,13806.0
71,1274.5846463856542,1274.5962606076562,0.593,16176.0
72,1273.2373966334242,1273.2490108554261,0.537,16872.0
73,1270.089942470887,1270.101556692889,0.539,18498.0
74,1269.5440740367937,1269.5556882587957,0.557,18780.0
75,1269.427931816774,1269.439546038776,0.532,18840.0
76,1262.180657287537,1262.192271509539,0.51,22584.0
77,1261.2979764153865,1261.3095906373885,0.709,23040.0
78,1259.2887160090436,1259.3003302310456,0.518,24078.0
79,1257.3955978227204,1257.4072120447224,0.671,25056.0
80,1257.116856494673,1257.1284707166749,0.596,25200.0
81,1255.6302360784193,1255.6418503004213,0.627,25968.0
82,1250.0205668514618,1250.0321810734638,0.82,28866.0
83,1250.0089526294598,1250.0205668514618,0.572,28872.0
84,1249.9973384074578,1250.0089526294598,0.841,28878.0
85,1249.9857241854559,1249.9973384074578,0.615,28884.0
86,1249.962495741452,1249.9741099634539,0.653,28896.0
87,1249.916038853444,1249.927653075446,0.903,28920.0
88,1358.4487657953418,1358.4603800173438,0.594,1986.0
89,1354.0121329905846,1354.0237472125866,0.553,4278.0
90,1330.8069174306245,1330.8185316526265,0.515,16266.0
91,1327.0787521679881,1327.09036638999,0.511,18192.0
92,1321.4923113850348,1321.5039256070368,0.648,21078.0
93,1316.2078403741327,1316.2194545961347,0.51,23808.0
94,1314.2798795218037,1314.2914937438059,0.537,24804.0
95,1312.9326297695739,1312.9442439915758,0.553,25500.0
96,1308.7863525148662,1308.7979667368681,0.699,27642.0
97,1308.7631240708622,1308.7747382928642,0.75,27654.0
98,1308.7050529608523,1308.7166671828543,0.727,27684.0
99,1308.6934387388503,1308.7050529608523,0.613,27690.0
