,start_freq,end_freq,probability,index
0,1078.8345336914062,1078.8459777832031,0.507,774.0
1,1077.8388977050781,1077.850341796875,0.663,1296.0
2,1074.1539001464844,1074.1653442382812,0.773,3228.0
3,1072.1969604492188,1072.2084045410156,0.53,4254.0
4,1069.0956115722656,1069.1070556640625,0.592,5880.0
5,1064.7010803222656,1064.7125244140625,0.58,8184.0
6,1063.1675720214844,1063.1790161132812,0.672,8988.0
7,1063.1332397460938,1063.1446838378906,0.877,9006.0
8,1063.1217956542969,1063.1332397460938,0.602,9012.0
9,1059.8487854003906,1059.8602294921875,0.813,10728.0
10,1056.5071105957031,1056.5185546875,0.726,12480.0
11,1055.7174682617188,1055.7289123535156,0.606,12894.0
12,1053.7033081054688,1053.7147521972656,0.621,13950.0
13,1039.48974609375,1039.5011901855469,0.803,21402.0
14,1032.9208374023438,1032.9322814941406,0.509,24846.0
15,1031.5933227539062,1031.6047668457031,0.558,25542.0
16,1030.9066772460938,1030.9181213378906,0.654,25902.0
17,1029.4418334960938,1029.4532775878906,0.508,26670.0
18,1025.9742736816406,1025.9857177734375,0.775,28488.0
19,1025.2876281738281,1025.299072265625,0.592,28848.0
20,1077.8331756591797,1077.8446197509766,0.598,1296.0
21,1075.1094818115234,1075.1209259033203,0.661,2724.0
22,1069.3302154541016,1069.3416595458984,0.567,5754.0
23,1064.4550323486328,1064.4664764404297,0.855,8310.0
24,1063.4479522705078,1063.4593963623047,0.705,8838.0
25,1055.9978485107422,1056.009292602539,0.506,12744.0
26,1055.7117462158203,1055.7231903076172,0.535,12894.0
27,1053.0567169189453,1053.0681610107422,0.69,14286.0
28,1051.6490936279297,1051.6605377197266,0.652,15024.0
29,1051.0196685791016,1051.0311126708984,0.704,15354.0
30,1045.8812713623047,1045.8927154541016,0.628,18048.0
31,1042.1276092529297,1042.1390533447266,0.552,20016.0
32,1039.4954681396484,1039.5069122314453,0.789,21396.0
33,1035.3755950927734,1035.3870391845703,0.566,23556.0
34,1035.0322723388672,1035.043716430664,0.654,23736.0
35,1028.3145904541016,1028.3260345458984,0.74,27258.0
36,1026.1287689208984,1026.1402130126953,0.513,28404.0
37,1134.8190307617188,1134.8304748535156,0.677,990.0
38,1128.6964416503906,1128.7078857421875,0.667,4200.0
39,1124.08447265625,1124.0959167480469,0.648,6618.0
40,1123.2490539550781,1123.260498046875,0.546,7056.0
41,1122.6425170898438,1122.6539611816406,0.505,7374.0
42,1119.3466186523438,1119.3580627441406,0.675,9102.0
43,1116.5428161621094,1116.5542602539062,0.668,10572.0
44,1112.8578186035156,1112.8692626953125,0.628,12504.0
45,1108.3602905273438,1108.3717346191406,0.512,14862.0
46,1103.2218933105469,1103.2333374023438,0.512,17556.0
47,1100.0175476074219,1100.0289916992188,0.884,19236.0
48,1097.1221923828125,1097.1336364746094,0.523,20754.0
49,1095.8061218261719,1095.8175659179688,0.517,21444.0
50,1092.9336547851562,1092.9450988769531,0.507,22950.0
51,1090.850830078125,1090.8622741699219,0.628,24042.0
52,1089.9467468261719,1089.9581909179688,0.731,24516.0
53,1089.0541076660156,1089.0655517578125,0.579,24984.0
54,1087.2344970703125,1087.2459411621094,0.568,25938.0
55,1085.5636596679688,1085.5751037597656,0.683,26814.0
56,1085.4835510253906,1085.4949951171875,0.542,26856.0
57,1083.6639404296875,1083.6753845214844,0.512,27810.0
58,1134.8133087158203,1134.8247528076172,0.694,990.0
59,1124.0787506103516,1124.0901947021484,0.509,6618.0
60,1122.6825714111328,1122.6940155029297,0.666,7350.0
61,1122.6482391357422,1122.659683227539,0.681,7368.0
62,1121.9844818115234,1121.9959259033203,0.648,7716.0
63,1119.0319061279297,1119.0433502197266,0.527,9264.0
64,1113.7561798095703,1113.7676239013672,0.512,12030.0
65,1113.2984161376953,1113.3098602294922,0.621,12270.0
66,1112.680435180664,1112.691879272461,0.557,12594.0
67,1110.5289459228516,1110.5403900146484,0.684,13722.0
68,1102.804183959961,1102.8156280517578,0.527,17772.0
69,1099.5311737060547,1099.5426177978516,0.545,19488.0
70,1097.116470336914,1097.127914428711,0.506,20754.0
71,1096.0407257080078,1096.0521697998047,0.681,21318.0
72,1095.2739715576172,1095.285415649414,0.557,21720.0
73,1093.3856964111328,1093.3971405029297,0.768,22710.0
74,1092.7677154541016,1092.7791595458984,0.536,23034.0
75,1090.719223022461,1090.7306671142578,0.502,24108.0
76,1090.6963348388672,1090.707778930664,0.794,24120.0
77,1088.8309478759766,1088.8423919677734,0.524,25098.0
78,1088.247299194336,1088.2587432861328,0.532,25404.0
79,1088.1900787353516,1088.2015228271484,0.534,25434.0
80,1087.240219116211,1087.2516632080078,0.669,25932.0
81,1086.5421295166016,1086.5535736083984,0.501,26298.0
82,1084.4478607177734,1084.4593048095703,0.566,27396.0
83,1191.2612915039062,1191.2727355957031,0.575,966.0
84,1187.1757507324219,1187.1871948242188,0.663,3108.0
85,1185.4934692382812,1185.5049133300781,0.503,3990.0
86,1185.0700378417969,1185.0814819335938,0.54,4212.0
87,1184.5550537109375,1184.5664978027344,0.571,4482.0
88,1184.4978332519531,1184.50927734375,0.532,4512.0
89,1184.2918395996094,1184.3032836914062,0.545,4620.0
90,1184.2117309570312,1184.2231750488281,0.683,4662.0
91,1183.9828491210938,1183.9942932128906,0.585,4782.0
92,1183.9141845703125,1183.9256286621094,0.609,4818.0
93,1183.8226318359375,1183.8340759277344,0.746,4866.0
94,1183.7539672851562,1183.7654113769531,0.595,4902.0
95,1183.6395263671875,1183.6509704589844,0.577,4962.0
96,1183.4335327148438,1183.4449768066406,0.614,5070.0
97,1183.3877563476562,1183.3992004394531,0.578,5094.0
98,1183.3534240722656,1183.3648681640625,0.545,5112.0
99,1183.1474304199219,1183.1588745117188,0.772,5220.0
100,1183.0101013183594,1183.0215454101562,0.523,5292.0
101,1182.9872131347656,1182.9986572265625,0.513,5304.0
102,1182.5752258300781,1182.586669921875,0.545,5520.0
103,1182.0030212402344,1182.0144653320312,0.512,5820.0
104,1181.7741394042969,1181.7855834960938,0.559,5940.0
105,1180.6182861328125,1180.6297302246094,0.562,6546.0
106,1180.6068420410156,1180.6182861328125,0.528,6552.0
107,1180.5152893066406,1180.5267333984375,0.515,6600.0
108,1180.3092956542969,1180.3207397460938,0.608,6708.0
109,1180.2635192871094,1180.2749633789062,0.522,6732.0
110,1180.1605224609375,1180.1719665527344,0.528,6786.0
111,1179.9430847167969,1179.9545288085938,0.538,6900.0
112,1179.4509887695312,1179.4624328613281,0.547,7158.0
