,start_freq,end_freq,probability,index
0,1078.4175332166749,1078.4291474386769,0.655,978.0
1,1077.058669242443,1077.070283464445,0.628,1680.0
2,1076.0017750402626,1076.0133892622646,0.712,2226.0
3,1075.9901608182606,1076.0017750402626,0.613,2232.0
4,1075.8972470422448,1075.9088612642468,0.548,2280.0
5,1075.6649626022052,1075.6765768242071,0.522,2400.0
6,1075.177165278122,1075.188779500124,0.76,2652.0
7,1074.8055101740586,1074.8171243960605,0.591,2844.0
8,1071.9948684495787,1072.0064826715807,0.565,4296.0
9,1067.987961858895,1067.999576080897,0.586,6366.0
10,1067.976347636893,1067.987961858895,0.541,6372.0
11,1067.7208347528494,1067.7324489748514,0.525,6504.0
12,1066.559412552651,1066.571026774653,0.669,7104.0
13,1066.4316561106293,1066.4432703326313,0.725,7170.0
14,1066.1877574485877,1066.1993716705897,0.713,7296.0
15,1066.048386784564,1066.060001006566,0.516,7368.0
16,1065.96708723055,1065.978701452552,0.792,7410.0
17,1065.7696454565164,1065.7812596785184,0.674,7512.0
18,1065.5838179044847,1065.5954321264867,0.588,7608.0
19,1065.1540916904114,1065.1657059124134,0.795,7830.0
20,1065.0844063583993,1065.0960205804013,0.679,7866.0
21,1063.2609735040883,1063.2725877260903,0.505,8808.0
22,1059.1146962493806,1059.1263104713826,0.548,10950.0
23,1055.525901650768,1055.53751587277,0.517,12804.0
24,1052.0184066061695,1052.0300208281715,0.617,14616.0
25,1048.5689826715807,1048.5805968935827,0.66,16398.0
26,1042.2043890144946,1042.2160032364966,0.535,19686.0
27,1041.972104574455,1041.983718796457,0.672,19806.0
28,1041.0429668142963,1041.0545810362983,0.598,20286.0
29,1040.1022148321358,1040.1138290541378,0.547,20772.0
30,1039.265990847993,1039.277605069995,0.681,21204.0
31,1035.1893989252974,1035.2010131472994,0.629,23310.0
32,1034.9222718192518,1034.9338860412538,0.649,23448.0
33,1034.1673473891228,1034.1789616111248,0.85,23838.0
34,1032.820097636893,1032.831711858895,0.686,24534.0
35,1031.6238327706888,1031.6354469926907,0.57,25152.0
36,1030.6017812345144,1030.6133954565164,0.578,25680.0
37,1030.5669385685085,1030.5785527905105,0.589,25698.0
38,1029.6842576963577,1029.6958719183597,0.892,26154.0
39,1029.2661457042864,1029.2777599262884,0.761,26370.0
40,1028.871262156219,1028.882876378221,0.853,26574.0
41,1027.8259821760407,1027.8375963980427,0.794,27114.0
42,1027.8143679540387,1027.8259821760407,0.745,27120.0
43,1027.2452710759414,1027.2568852979434,0.665,27414.0
44,1027.0710577459117,1027.0826719679137,0.832,27504.0
45,1027.0594435239097,1027.0710577459117,0.563,27510.0
46,1025.9793208777255,1025.9909350997275,0.878,28068.0
47,1023.9468320273786,1023.9584462493806,0.554,29118.0
48,1080.188702071977,1080.200316293979,0.511,60.0
49,1080.1306309619672,1080.1422451839692,0.616,90.0
50,1079.4453918638503,1079.4570060858523,0.716,444.0
51,1078.1097563336223,1078.1213705556243,0.552,1134.0
52,1076.7276639153863,1076.7392781373883,0.861,1848.0
53,1074.9971448370911,1075.008759059093,0.595,2742.0
54,1070.8044106943755,1070.8160249163775,0.635,4908.0
55,1070.7231111403617,1070.7347253623636,0.61,4950.0
56,1069.5849173841673,1069.5965316061693,0.514,5538.0
57,1067.982154747894,1067.9937689698959,0.511,6366.0
58,1067.970540525892,1067.982154747894,0.597,6372.0
59,1067.0414027657332,1067.0530169877352,0.884,6852.0
60,1066.4606916656342,1066.4723058876361,0.56,7152.0
61,1066.0193512295589,1066.0309654515609,0.615,7380.0
62,1065.891594787537,1065.903209009539,0.582,7446.0
63,1064.9392285833744,1064.9508428053764,0.576,7938.0
64,1062.651226848984,1062.662841070986,0.508,9120.0
65,1062.5234704069621,1062.5350846289641,0.66,9186.0
66,1060.6651948866452,1060.6768091086471,0.714,10146.0
67,1059.979955788528,1059.99157001053,0.562,10500.0
68,1057.366755838082,1057.378370060084,0.502,11850.0
69,1053.9057176814915,1053.9173319034935,0.625,13638.0
70,1053.2437070273784,1053.2553212493804,0.625,13980.0
71,1052.825595035307,1052.837209257309,0.63,14196.0
72,1052.233269713206,1052.244883935208,0.518,14502.0
73,1050.247237750867,1050.258851972869,0.643,15528.0
74,1049.3645568787165,1049.3761711007185,0.616,15984.0
75,1048.5051044505697,1048.5167186725716,0.73,16428.0
76,1037.308994440659,1037.320608662661,0.584,22212.0
77,1034.1731545001237,1034.1847687221257,0.627,23832.0
78,1032.9420469679137,1032.9536611899157,0.762,24468.0
79,1032.825904747894,1032.8375189698959,0.654,24528.0
80,1031.978066541749,1031.989680763751,0.707,24966.0
81,1030.6772736775272,1030.6888878995292,0.508,25638.0
82,1030.6075883455153,1030.6192025675173,0.887,25674.0
83,1029.2951812592912,1029.3067954812932,0.53,26352.0
84,1028.865455045218,1028.87706926722,0.868,26574.0
85,1028.203444391105,1028.215058613107,0.598,26916.0
86,1027.8317892870416,1027.8434035090436,0.73,27108.0
87,1027.8201750650396,1027.8317892870416,0.832,27114.0
88,1027.7040328450198,1027.7156470670218,0.721,27174.0
89,1027.3207635189542,1027.3323777409562,0.674,27372.0
90,1027.0768648569126,1027.0884790789146,0.67,27498.0
91,1026.809737750867,1026.821351972869,0.625,27636.0
92,1026.774895084861,1026.786509306863,0.745,27654.0
93,1025.9735137667244,1025.9851279887264,0.53,28068.0
94,1025.5321733306491,1025.543787552651,0.509,28296.0
95,1025.4276453326313,1025.4392595546333,0.692,28350.0
96,1024.5333502384785,1024.5449644604805,0.568,28812.0
97,1023.9410249163775,1023.9526391383795,0.752,29118.0
98,1135.0114593657086,1135.0230735877105,0.529,876.0
99,1134.6514184836471,1134.6630327056491,0.716,1062.0
100,1133.9081082755204,1133.9197224975223,0.685,1446.0
101,1132.2705029732408,1132.2821171952428,0.576,2292.0
102,1132.2240460852329,1132.2356603072349,0.517,2316.0
103,1130.969710109019,1130.981324331021,0.506,2964.0
104,1129.2043483647176,1129.2159625867196,0.505,3876.0
105,1127.57835728444,1127.589971506442,0.781,4716.0
106,1124.0244053518336,1124.0360195738356,0.597,6552.0
107,1123.9431057978197,1123.9547200198217,0.888,6594.0
108,1122.0035307234887,1122.0151449454906,0.55,7596.0
109,1114.593657086224,1114.605271308226,0.522,11424.0
110,1114.2568446481664,1114.2684588701684,0.529,11598.0
111,1111.7365584737363,1111.7481726957383,0.525,12900.0
112,1107.9851647670962,1107.9967789890982,0.662,14838.0
113,1105.0583808225965,1105.0699950445985,0.525,16350.0
114,1104.0711719524281,1104.08278617443,0.549,16860.0
115,1101.9922262140733,1102.0038404360753,0.544,17934.0
116,1097.1374814172448,1097.1490956392468,0.602,20442.0
117,1096.951653865213,1096.963268087215,0.548,20538.0
118,1096.7542120911794,1096.7658263131814,0.522,20640.0
119,1096.4986992071358,1096.5103134291378,0.754,20772.0
120,1096.4870849851338,1096.4986992071358,0.521,20778.0
121,1096.1038156590685,1096.1154298810704,0.707,20976.0
122,1091.4000557482657,1091.4116699702677,0.506,23406.0
123,1091.3768273042617,1091.3884415262637,0.534,23418.0
124,1091.3652130822597,1091.3768273042617,0.688,23424.0
125,1090.1805624380574,1090.1921766600594,0.621,24036.0
126,1090.0295775520317,1090.0411917740337,0.656,24114.0
127,1090.0063491080277,1090.0179633300297,0.507,24126.0
128,1089.9947348860258,1090.0063491080277,0.524,24132.0
129,1089.9715064420218,1089.9831206640238,0.884,24144.0
130,1089.90182111001,1089.9134353320119,0.609,24180.0
131,1089.890206888008,1089.90182111001,0.562,24186.0
132,1089.7624504459861,1089.7740646679881,0.636,24252.0
133,1089.3675668979188,1089.3791811199208,0.705,24456.0
134,1088.9842975718534,1088.9959117938554,0.523,24654.0
135,1088.461657581764,1088.473271803766,0.759,24924.0
