,start_freq,end_freq,probability,index
0,1079.1549682617188,1079.1664123535156,0.714,606.0
1,1077.6786804199219,1077.6901245117188,0.688,1380.0
2,1076.2710571289062,1076.2825012207031,0.773,2118.0
3,1076.1337280273438,1076.1451721191406,0.505,2190.0
4,1075.4585266113281,1075.469970703125,0.877,2544.0
5,1075.0923156738281,1075.103759765625,0.584,2736.0
6,1075.0350952148438,1075.0465393066406,0.507,2766.0
7,1074.9549865722656,1074.9664306640625,0.502,2808.0
8,1074.6116638183594,1074.6231079101562,0.856,2988.0
9,1073.2040405273438,1073.2154846191406,0.696,3726.0
10,1072.9179382324219,1072.9293823242188,0.81,3876.0
11,1072.2427368164062,1072.2541809082031,0.771,4230.0
12,1071.7735290527344,1071.7849731445312,0.699,4476.0
13,1070.1942443847656,1070.2056884765625,0.539,5304.0
14,1070.1370239257812,1070.1484680175781,0.772,5334.0
15,1070.0454711914062,1070.0569152832031,0.753,5382.0
16,1070.0225830078125,1070.0340270996094,0.717,5394.0
17,1069.4732666015625,1069.4847106933594,0.659,5682.0
18,1064.9070739746094,1064.9185180664062,0.533,8076.0
19,1064.7125244140625,1064.7239685058594,0.578,8178.0
20,1064.5751953125,1064.5866394042969,0.591,8250.0
21,1062.7784729003906,1062.7899169921875,0.536,9192.0
22,1059.2880249023438,1059.2994689941406,0.58,11022.0
23,1059.2765808105469,1059.2880249023438,0.574,11028.0
24,1057.5141906738281,1057.525634765625,0.52,11952.0
25,1057.2967529296875,1057.3081970214844,0.646,12066.0
26,1057.2853088378906,1057.2967529296875,0.59,12072.0
27,1057.2280883789062,1057.2395324707031,0.65,12102.0
28,1057.2166442871094,1057.2280883789062,0.733,12108.0
29,1057.2052001953125,1057.2166442871094,0.686,12114.0
30,1057.1937561035156,1057.2052001953125,0.631,12120.0
31,1057.1479797363281,1057.159423828125,0.604,12144.0
32,1057.1365356445312,1057.1479797363281,0.717,12150.0
33,1057.1250915527344,1057.1365356445312,0.643,12156.0
34,1057.1136474609375,1057.1250915527344,0.597,12162.0
35,1054.9163818359375,1054.9278259277344,0.567,13314.0
36,1050.6935119628906,1050.7049560546875,0.548,15528.0
37,1049.0455627441406,1049.0570068359375,0.825,16392.0
38,1049.0341186523438,1049.0455627441406,0.565,16398.0
39,1048.370361328125,1048.3818054199219,0.583,16746.0
40,1048.1986999511719,1048.2101440429688,0.658,16836.0
41,1047.9240417480469,1047.9354858398438,0.829,16980.0
42,1047.0199584960938,1047.0314025878906,0.728,17454.0
43,1047.0085144042969,1047.0199584960938,0.898,17460.0
44,1046.8254089355469,1046.8368530273438,0.794,17556.0
45,1046.5164184570312,1046.5278625488281,0.628,17718.0
46,1046.356201171875,1046.3676452636719,0.614,17802.0
47,1046.3333129882812,1046.3447570800781,0.771,17814.0
48,1046.2188720703125,1046.2303161621094,0.778,17874.0
49,1046.1616516113281,1046.173095703125,0.817,17904.0
50,1046.08154296875,1046.0929870605469,0.885,17946.0
51,1046.0700988769531,1046.08154296875,0.68,17952.0
52,1046.0586547851562,1046.0700988769531,0.631,17958.0
53,1046.0128784179688,1046.0243225097656,0.867,17982.0
54,1046.0014343261719,1046.0128784179688,0.64,17988.0
55,1045.9671020507812,1045.9785461425781,0.576,18006.0
56,1045.8984375,1045.9098815917969,0.516,18042.0
57,1045.8526611328125,1045.8641052246094,0.861,18066.0
58,1045.8412170410156,1045.8526611328125,0.772,18072.0
59,1045.7038879394531,1045.71533203125,0.601,18144.0
60,1045.6123352050781,1045.623779296875,0.611,18192.0
61,1045.5665588378906,1045.5780029296875,0.572,18216.0
62,1045.5093383789062,1045.5207824707031,0.879,18246.0
