,start_freq,end_freq,probability,index
0,1168.821911391229,1168.833525613231,0.52,2328.0
1,1157.7884004893458,1157.8000147113478,0.51,8028.0
2,1155.697840528989,1155.709454750991,0.645,9108.0
3,1152.8175134724975,1152.8291276944994,0.794,10596.0
4,1152.7013712524777,1152.7129854744796,0.754,10656.0
5,1152.5736148104559,1152.5852290324578,0.9,10722.0
6,1152.469086812438,1152.48070103444,0.85,10776.0
7,1152.457472590436,1152.469086812438,0.537,10782.0
8,1152.3529445924182,1152.3645588144202,0.838,10836.0
9,1152.2948734824083,1152.3064877044103,0.79,10866.0
10,1152.2832592604063,1152.2948734824083,0.844,10872.0
11,1152.0974317083746,1152.1090459303766,0.655,10968.0
12,1152.0742032643707,1152.0858174863727,0.887,10980.0
13,1152.0509748203667,1152.0625890423687,0.828,10992.0
14,1151.934832600347,1151.946446822349,0.889,11052.0
15,1151.841918824331,1151.853533046333,0.825,11100.0
16,1151.830304602329,1151.841918824331,0.592,11106.0
17,1151.7606192703172,1151.7722334923192,0.75,11142.0
18,1151.7490050483152,1151.7606192703172,0.854,11148.0
19,1151.5747917182855,1151.5864059402875,0.643,11238.0
20,1151.4818779422696,1151.4934921642716,0.825,11286.0
21,1151.4354210542617,1151.4470352762637,0.856,11310.0
22,1151.3773499442518,1151.3889641662538,0.783,11340.0
23,1151.3541215002479,1151.3657357222498,0.809,11352.0
24,1151.30766461224,1151.319278834242,0.859,11376.0
25,1151.237979280228,1151.24959350223,0.709,11412.0
26,1150.9824663961842,1150.9940806181862,0.747,11544.0
27,1150.9592379521803,1150.9708521741823,0.732,11556.0
28,1150.7734104001486,1150.7850246221506,0.811,11652.0
29,1150.6572681801288,1150.6688824021307,0.794,11712.0
30,1150.5991970701189,1150.6108112921208,0.581,11742.0
31,1150.552740182111,1150.564354404113,0.797,11766.0
32,1150.483054850099,1150.494669072101,0.586,11802.0
33,1150.1462424120416,1150.1578566340436,0.694,11976.0
34,1150.0765570800297,1150.0881713020317,0.889,12012.0
35,1150.0184859700198,1150.0301001920218,0.861,12042.0
36,1149.9952575260158,1150.0068717480178,0.9,12054.0
37,1149.9836433040139,1149.9952575260158,0.593,12060.0
38,1144.5598016290883,1144.5714158510903,0.505,14862.0
39,1141.0987634724975,1141.1103776944994,0.533,16650.0
40,1141.0290781404856,1141.0406923624876,0.52,16686.0
41,1138.9965892901387,1139.0082035121407,0.595,17736.0
42,1136.5459884477204,1136.5576026697224,0.936,19002.0
43,1134.4786569313676,1134.4902711533696,0.602,20070.0
44,1133.584361837215,1133.595976059217,0.661,20532.0
45,1132.248726306987,1132.260340528989,0.674,21222.0
46,1130.6459636707136,1130.6575778927156,0.651,22050.0
47,1129.3219423624876,1129.3335565844895,0.878,22734.0
48,1127.4752810641723,1127.4868952861743,0.613,23688.0
49,1126.9410268520812,1126.9526410740832,0.665,23964.0
50,1218.7398375557482,1218.7514517777502,0.574,756.0
51,1218.275268675669,1218.286882897671,0.504,996.0
52,1218.1358980116452,1218.1475122336471,0.508,1068.0
53,1214.245133640981,1214.256747862983,0.505,3078.0
54,1211.3648065844895,1211.3764208064915,0.538,4566.0
55,1205.6506093595144,1205.6622235815164,0.541,7518.0
56,1204.2104458312685,1204.2220600532705,0.505,8262.0
57,1199.7157419165014,1199.7273561385034,0.518,10584.0
58,1196.9167144140238,1196.9283286360258,0.657,12030.0
59,1193.7692602514867,1193.7808744734887,0.732,13656.0
60,1193.6995749194748,1193.7111891414768,0.881,13692.0
61,1193.618275365461,1193.629889587463,0.845,13734.0
62,1193.548590033449,1193.560204255451,0.77,13770.0
63,1193.513747367443,1193.525361589445,0.841,13788.0
64,1193.3163055934094,1193.3279198154114,0.845,13890.0
65,1193.2930771494052,1193.3046913714074,0.638,13902.0
66,1193.1304780413775,1193.1420922633795,0.778,13986.0
67,1193.1188638193755,1193.1304780413775,0.866,13992.0
68,1193.0027215993557,1193.0143358213577,0.741,14052.0
69,1192.9330362673438,1192.9446504893458,0.886,14088.0
70,1192.9214220453418,1192.9330362673438,0.559,14094.0
71,1192.9098078233399,1192.9214220453418,0.674,14100.0
72,1192.8981936013379,1192.9098078233399,0.852,14106.0
73,1192.7239802713082,1192.7355944933101,0.77,14196.0
74,1192.5613811632804,1192.5729953852824,0.793,14280.0
75,1192.5033100532705,1192.5149242752725,0.605,14310.0
76,1192.4568531652626,1192.4684673872646,0.806,14334.0
77,1192.3871678332507,1192.3987820552527,0.828,14370.0
78,1192.2942540572349,1192.3058682792368,0.743,14418.0
79,1192.0619696171952,1192.0735838391972,0.871,14538.0
80,1191.9225989531715,1191.9342131751735,0.919,14610.0
81,1191.7948425111497,1191.8064567331517,0.858,14676.0
82,1191.7832282891477,1191.7948425111497,0.801,14682.0
83,1191.7599998451437,1191.7716140671457,0.888,14694.0
84,1191.7251571791378,1191.7367714011398,0.807,14712.0
85,1191.6787002911299,1191.6903145131319,0.773,14736.0
86,1191.655471847126,1191.667086069128,0.861,14748.0
87,1191.4580300730922,1191.4696442950942,0.815,14850.0
88,1191.1909029670467,1191.2025171890486,0.593,14988.0
89,1189.4255412227453,1189.4371554447473,0.636,15900.0
90,1189.2164852267097,1189.2280994487116,0.513,16008.0
91,1187.4743519264123,1187.4859661484143,0.588,16908.0
92,1185.9180461781466,1185.9296604001486,0.655,17712.0
93,1183.142247119673,1183.1538613416749,0.609,19146.0
94,1182.2827946915263,1182.2944089135283,0.73,19590.0
95,1181.9459822534689,1181.9575964754708,0.689,19764.0
96,1179.3560107470269,1179.3676249690288,0.508,21102.0
97,1178.9611271989593,1178.9727414209613,0.546,21306.0
98,1177.857776108771,1177.869390330773,0.538,21876.0
99,1175.987886366452,1175.9995005884539,0.533,22842.0
100,1174.3618952861743,1174.3735095081763,0.502,23682.0
101,1265.8355077737858,1265.8471219957878,0.601,642.0
102,1265.6496802217541,1265.661294443756,0.501,738.0
103,1262.9087238292864,1262.9203380512884,0.67,2154.0
104,1262.7809673872646,1262.7925816092666,0.673,2220.0
105,1262.6532109452428,1262.6648251672448,0.663,2286.0
106,1260.562650984886,1260.574265206888,0.658,3366.0
107,1260.516194096878,1260.52780831888,0.56,3390.0
108,1260.3071381008424,1260.3187523228444,0.843,3498.0
109,1260.1096963268087,1260.1213105488107,0.743,3600.0
110,1257.6939381503964,1257.7055523723984,0.774,4848.0
111,1253.350219121655,1253.361833343657,0.514,7092.0
112,1250.0982369611002,1250.1098511831021,0.574,8772.0
113,1249.6685107470269,1249.6801249690288,0.567,8994.0
114,1247.1133819065906,1247.1249961285926,0.606,10314.0
115,1246.5791276944994,1246.5907419165014,0.844,10590.0
116,1246.5442850284935,1246.5558992504955,0.836,10608.0
117,1246.5326708064915,1246.5442850284935,0.792,10614.0
118,1246.4862139184836,1246.4978281404856,0.635,10638.0
119,1246.4513712524777,1246.4629854744796,0.676,10656.0
120,1246.3236148104559,1246.3352290324578,0.822,10722.0
121,1246.219086812438,1246.23070103444,0.526,10776.0
122,1246.207472590436,1246.219086812438,0.886,10782.0
123,1246.1261730364222,1246.1377872584242,0.879,10824.0
124,1246.1145588144202,1246.1261730364222,0.853,10830.0
125,1246.0216450384044,1246.0332592604063,0.896,10878.0
126,1245.9055028183845,1245.9171170403865,0.884,10938.0
127,1245.8938885963826,1245.9055028183845,0.619,10944.0
128,1245.8822743743806,1245.8938885963826,0.722,10950.0
129,1245.7545179323588,1245.7661321543608,0.831,11016.0
130,1245.661604156343,1245.673218378345,0.79,11064.0
131,1245.649989934341,1245.661604156343,0.78,11070.0
132,1245.580304602329,1245.591918824331,0.826,11106.0
133,1245.5106192703172,1245.5222334923192,0.847,11142.0
134,1245.3015632742815,1245.3131774962835,0.861,11250.0
135,1245.1041215002479,1245.1157357222498,0.889,11352.0
136,1245.080893056244,1245.0925072782459,0.777,11364.0
137,1245.046050390238,1245.05766461224,0.676,11382.0
138,1244.9299081702181,1244.9415223922201,0.83,11442.0
139,1244.8834512822102,1244.8950655042122,0.892,11466.0
140,1244.6743952861743,1244.6860095081763,0.845,11574.0
141,1244.6511668421704,1244.6627810641723,0.654,11586.0
142,1244.4769535121407,1244.4885677341426,0.816,11676.0
143,1244.4653392901387,1244.4769535121407,0.717,11682.0
144,1244.4072681801288,1244.4188824021307,0.871,11712.0
145,1244.3724255141228,1244.3840397361248,0.756,11730.0
146,1244.244669072101,1244.256283294103,0.791,11796.0
147,1244.233054850099,1244.244669072101,0.851,11802.0
148,1244.0820699640733,1244.0936841860753,0.836,11880.0
149,1244.0239988540634,1244.0356130760654,0.855,11910.0
150,1244.0123846320614,1244.0239988540634,0.772,11916.0
151,1244.0007704100594,1244.0123846320614,0.516,11922.0
152,1243.9891561880574,1244.0007704100594,0.83,11928.0
153,1243.9659277440535,1243.9775419660555,0.836,11940.0
154,1243.8730139680376,1243.8846281900396,0.845,11988.0
155,1234.1286817083746,1234.1402959303766,0.705,17022.0
156,1232.8046604001486,1232.8162746221506,0.571,17706.0
157,1224.767618774777,1224.779232996779,0.687,21858.0
158,1220.830397516105,1220.842011738107,0.506,23892.0
159,1312.3969237797323,1312.4085380017343,0.511,804.0
160,1308.006747862983,1308.018362084985,0.719,3072.0
161,1307.6583212029236,1307.6699354249256,0.517,3252.0
162,1307.414422540882,1307.426036762884,0.784,3378.0
163,1307.0892243248265,1307.1008385468285,0.699,3546.0
164,1307.0659958808226,1307.0776101028246,0.723,3558.0
165,1306.6362696667493,1306.6478838887513,0.778,3780.0
166,1306.5665843347374,1306.5781985567394,0.743,3816.0
167,1306.0671727886522,1306.0787870106542,0.712,4074.0
168,1305.8348883486126,1305.8465025706146,0.856,4194.0
169,1301.8395959799307,1301.8512102019326,0.506,6258.0
170,1293.2102290324578,1293.2218432544598,0.644,10716.0
171,1291.5145526201684,1291.5261668421704,0.567,11592.0
172,1287.356661143459,1287.368275365461,0.858,13740.0
173,1287.298590033449,1287.310204255451,0.797,13770.0
174,1287.2056762574332,1287.2172904794352,0.843,13818.0
175,1287.1824478134292,1287.1940620354312,0.722,13830.0
176,1286.636579379336,1286.6481936013379,0.627,14112.0
