,start_freq,end_freq,probability,index
0,1080.0361633300781,1080.047607421875,0.702,144.0
1,1079.3609619140625,1079.3724060058594,0.623,498.0
2,1079.1435241699219,1079.1549682617188,0.547,612.0
3,1077.4040222167969,1077.4154663085938,0.537,1524.0
4,1076.0765075683594,1076.0879516601562,0.87,2220.0
5,1075.8705139160156,1075.8819580078125,0.717,2328.0
6,1075.5844116210938,1075.5958557128906,0.559,2478.0
7,1074.7604370117188,1074.7718811035156,0.523,2910.0
8,1074.1081237792969,1074.1195678710938,0.698,3252.0
9,1072.44873046875,1072.4601745605469,0.548,4122.0
10,1069.88525390625,1069.8966979980469,0.608,5466.0
11,1069.0841674804688,1069.0956115722656,0.528,5886.0
12,1069.0727233886719,1069.0841674804688,0.648,5892.0
13,1069.0040588378906,1069.0155029296875,0.525,5928.0
14,1068.9811706542969,1068.9926147460938,0.607,5940.0
15,1068.9010620117188,1068.9125061035156,0.617,5982.0
16,1066.3719177246094,1066.3833618164062,0.64,7308.0
17,1066.2574768066406,1066.2689208984375,0.542,7368.0
18,1064.9070739746094,1064.9185180664062,0.651,8076.0
19,1063.8542175292969,1063.8656616210938,0.52,8628.0
20,1062.8471374511719,1062.8585815429688,0.514,9156.0
21,1062.1604919433594,1062.1719360351562,0.608,9516.0
22,1060.1119995117188,1060.1234436035156,0.622,10590.0
23,1060.0090026855469,1060.0204467773438,0.607,10644.0
24,1059.906005859375,1059.9174499511719,0.716,10698.0
25,1055.0079345703125,1055.0193786621094,0.839,13266.0
26,1054.9049377441406,1054.9163818359375,0.562,13320.0
27,1053.7490844726562,1053.7605285644531,0.805,13926.0
28,1052.9594421386719,1052.9708862304688,0.567,14340.0
29,1051.4488220214844,1051.4602661132812,0.641,15132.0
30,1050.5447387695312,1050.5561828613281,0.544,15606.0
31,1050.5332946777344,1050.5447387695312,0.529,15612.0
32,1050.4531860351562,1050.4646301269531,0.751,15654.0
33,1050.0068664550781,1050.018310546875,0.602,15888.0
34,1049.2401123046875,1049.2515563964844,0.513,16290.0
35,1048.27880859375,1048.2902526855469,0.622,16794.0
36,1048.2673645019531,1048.27880859375,0.557,16800.0
37,1048.0613708496094,1048.0728149414062,0.637,16908.0
38,1047.4090576171875,1047.4205017089844,0.614,17250.0
39,1045.2690124511719,1045.2804565429688,0.564,18372.0
40,1043.2205200195312,1043.2319641113281,0.564,19446.0
41,1043.1289672851562,1043.1404113769531,0.54,19494.0
42,1035.9992980957031,1036.0107421875,0.612,23232.0
43,1035.5644226074219,1035.5758666992188,0.693,23460.0
44,1035.1066589355469,1035.1181030273438,0.577,23700.0
45,1032.7491760253906,1032.7606201171875,0.547,24936.0
46,1031.6963195800781,1031.707763671875,0.535,25488.0
47,1030.0140380859375,1030.0254821777344,0.623,26370.0
48,1030.0025939941406,1030.0140380859375,0.532,26376.0
49,1029.9911499023438,1030.0025939941406,0.723,26382.0
50,1029.876708984375,1029.8881530761719,0.505,26442.0
51,1027.679443359375,1027.6908874511719,0.523,27594.0
52,1027.0271301269531,1027.03857421875,0.55,27936.0
53,1026.9699096679688,1026.9813537597656,0.767,27966.0
54,1026.4434814453125,1026.4549255371094,0.519,28242.0
55,1026.1116027832031,1026.123046875,0.689,28416.0
56,1134.9906921386719,1135.0021362304688,0.511,900.0
57,1133.9378356933594,1133.9492797851562,0.87,1452.0
58,1133.8233947753906,1133.8348388671875,0.592,1512.0
59,1133.1596374511719,1133.1710815429688,0.687,1860.0
60,1133.0337524414062,1133.0451965332031,0.576,1926.0
61,1132.9307556152344,1132.9421997070312,0.924,1980.0
62,1132.3356628417969,1132.3471069335938,0.603,2292.0
63,1131.0081481933594,1131.0195922851562,0.81,2988.0
64,1130.6991577148438,1130.7106018066406,0.514,3150.0
65,1130.0811767578125,1130.0926208496094,0.804,3474.0
66,1130.0697326660156,1130.0811767578125,0.888,3480.0
67,1130.0010681152344,1130.0125122070312,0.685,3516.0
68,1129.9781799316406,1129.9896240234375,0.84,3528.0
69,1129.9209594726562,1129.9324035644531,0.799,3558.0
70,1129.9095153808594,1129.9209594726562,0.865,3564.0
71,1129.8179626464844,1129.8294067382812,0.513,3612.0
72,1129.7035217285156,1129.7149658203125,0.784,3672.0
73,1128.2501220703125,1128.2615661621094,0.878,4434.0
74,1128.2386779785156,1128.2501220703125,0.799,4440.0
75,1128.2157897949219,1128.2272338867188,0.633,4452.0
76,1128.021240234375,1128.0326843261719,0.886,4554.0
77,1127.9983520507812,1128.0097961425781,0.571,4566.0
78,1127.8953552246094,1127.9067993164062,0.534,4620.0
79,1127.8152465820312,1127.8266906738281,0.86,4662.0
80,1127.8038024902344,1127.8152465820312,0.787,4668.0
81,1127.7694702148438,1127.7809143066406,0.694,4686.0
82,1127.7580261230469,1127.7694702148438,0.815,4692.0
83,1127.7351379394531,1127.74658203125,0.814,4704.0
84,1127.7236938476562,1127.7351379394531,0.636,4710.0
85,1127.6664733886719,1127.6779174804688,0.547,4740.0
86,1127.655029296875,1127.6664733886719,0.79,4746.0
87,1127.6435852050781,1127.655029296875,0.875,4752.0
88,1127.6321411132812,1127.6435852050781,0.704,4758.0
89,1125.0,1125.0114440917969,0.607,6138.0
90,1121.6812133789062,1121.6926574707031,0.675,7878.0
91,1121.0861206054688,1121.0975646972656,0.555,8190.0
92,1119.9874877929688,1119.9989318847656,0.865,8766.0
93,1117.5498962402344,1117.5613403320312,0.52,10044.0
94,1117.1035766601562,1117.1150207519531,0.587,10278.0
95,1111.9880676269531,1111.99951171875,0.518,12960.0
96,1107.0785522460938,1107.0899963378906,0.72,15534.0
97,1107.0556640625,1107.0671081542969,0.871,15546.0
98,1106.5635681152344,1106.5750122070312,0.539,15804.0
99,1105.5450439453125,1105.5564880371094,0.835,16338.0
100,1103.9543151855469,1103.9657592773438,0.641,17172.0
101,1103.02734375,1103.0387878417969,0.626,17658.0
102,1101.6883850097656,1101.6998291015625,0.571,18360.0
103,1099.4110107421875,1099.4224548339844,0.679,19554.0
104,1099.1706848144531,1099.18212890625,0.621,19680.0
105,1098.7358093261719,1098.7472534179688,0.568,19908.0
106,1098.4840393066406,1098.4954833984375,0.503,20040.0
107,1098.4382629394531,1098.44970703125,0.519,20064.0
108,1096.3211059570312,1096.3325500488281,0.813,21174.0
109,1095.8175659179688,1095.8290100097656,0.552,21438.0
110,1095.5429077148438,1095.5543518066406,0.833,21582.0
111,1095.52001953125,1095.5314636230469,0.641,21594.0
112,1094.8333740234375,1094.8448181152344,0.605,21954.0
113,1093.9407348632812,1093.9521789550781,0.687,22422.0
114,1093.3113098144531,1093.32275390625,0.753,22752.0
115,1092.3042297363281,1092.315673828125,0.582,23280.0
116,1092.22412109375,1092.2355651855469,0.583,23322.0
117,1092.2126770019531,1092.22412109375,0.648,23328.0
118,1092.0295715332031,1092.041015625,0.625,23424.0
119,1090.0611877441406,1090.0726318359375,0.656,24456.0
120,1090.0039672851562,1090.0154113769531,0.501,24486.0
121,1089.9696350097656,1089.9810791015625,0.657,24504.0
122,1089.9009704589844,1089.9124145507812,0.656,24540.0
123,1088.6764526367188,1088.6878967285156,0.838,25182.0
124,1088.3674621582031,1088.37890625,0.627,25344.0
125,1087.7952575683594,1087.8067016601562,0.503,25644.0
126,1087.7494812011719,1087.7609252929688,0.526,25668.0
127,1087.6235961914062,1087.6350402832031,0.508,25734.0
128,1087.6121520996094,1087.6235961914062,0.728,25740.0
129,1086.5936279296875,1086.6050720214844,0.692,26274.0
130,1086.3990783691406,1086.4105224609375,0.522,26376.0
131,1086.36474609375,1086.3761901855469,0.781,26394.0
132,1086.3418579101562,1086.3533020019531,0.513,26406.0
133,1085.7124328613281,1085.723876953125,0.51,26736.0
134,1085.6666564941406,1085.6781005859375,0.637,26760.0
135,1085.6208801269531,1085.63232421875,0.544,26784.0
136,1085.3347778320312,1085.3462219238281,0.564,26934.0
137,1084.9571228027344,1084.9685668945312,0.508,27132.0
138,1084.9227905273438,1084.9342346191406,0.523,27150.0
139,1084.8770141601562,1084.8884582519531,0.831,27174.0
140,1084.8426818847656,1084.8541259765625,0.588,27192.0
141,1084.3849182128906,1084.3963623046875,0.505,27432.0
142,1083.9500427246094,1083.9614868164062,0.535,27660.0
