,start_freq,end_freq,probability,index
0,1080.0590515136719,1080.0704956054688,0.653,132.0
1,1078.0792236328125,1078.0906677246094,0.539,1170.0
2,1077.9876708984375,1077.9991149902344,0.72,1218.0
3,1077.9190063476562,1077.9304504394531,0.714,1254.0
4,1076.5228271484375,1076.5342712402344,0.704,1986.0
5,1074.0852355957031,1074.0966796875,0.75,3264.0
6,1073.9250183105469,1073.9364624023438,0.81,3348.0
7,1073.91357421875,1073.9250183105469,0.502,3354.0
8,1070.5833435058594,1070.5947875976562,0.564,5100.0
9,1069.427490234375,1069.4389343261719,0.588,5706.0
10,1067.9512023925781,1067.962646484375,0.583,6480.0
11,1065.9942626953125,1066.0057067871094,0.698,7506.0
12,1065.9828186035156,1065.9942626953125,0.746,7512.0
13,1065.9713745117188,1065.9828186035156,0.571,7518.0
14,1065.9141540527344,1065.9255981445312,0.767,7548.0
15,1065.9027099609375,1065.9141540527344,0.632,7554.0
16,1065.8226013183594,1065.8340454101562,0.644,7596.0
17,1065.7539367675781,1065.765380859375,0.679,7632.0
18,1062.0689392089844,1062.0803833007812,0.675,9564.0
19,1062.0346069335938,1062.0460510253906,0.688,9582.0
20,1061.6683959960938,1061.6798400878906,0.583,9774.0
21,1059.99755859375,1060.0090026855469,0.58,10650.0
22,1059.8945617675781,1059.906005859375,0.536,10704.0
23,1057.6515197753906,1057.6629638671875,0.584,11880.0
24,1056.4384460449219,1056.4498901367188,0.539,12516.0
25,1056.4155578613281,1056.427001953125,0.639,12528.0
26,1056.3583374023438,1056.3697814941406,0.902,12558.0
27,1056.3468933105469,1056.3583374023438,0.774,12564.0
28,1056.2667846679688,1056.2782287597656,0.893,12606.0
29,1055.9349060058594,1055.9463500976562,0.808,12780.0
30,1055.9234619140625,1055.9349060058594,0.798,12786.0
31,1054.1038513183594,1054.1152954101562,0.623,13740.0
32,1054.0237426757812,1054.0351867675781,0.692,13782.0
33,1053.0853271484375,1053.0967712402344,0.658,14274.0
34,1051.5861511230469,1051.5975952148438,0.626,15060.0
35,1045.9556579589844,1045.9671020507812,0.788,18012.0
36,1045.9442138671875,1045.9556579589844,0.721,18018.0
37,1043.6210632324219,1043.6325073242188,0.64,19236.0
38,1042.9916381835938,1043.0030822753906,0.774,19566.0
39,1030.059814453125,1030.0712585449219,0.567,26346.0
40,1029.9797058105469,1029.9911499023438,0.738,26388.0
41,1134.7503662109375,1134.7618103027344,0.539,1026.0
42,1130.9394836425781,1130.950927734375,0.754,3024.0
43,1130.9165954589844,1130.9280395507812,0.916,3036.0
44,1130.2299499511719,1130.2413940429688,0.564,3396.0
45,1130.1383972167969,1130.1498413085938,0.588,3444.0
46,1130.0582885742188,1130.0697326660156,0.534,3486.0
47,1129.9324035644531,1129.94384765625,0.508,3552.0
48,1129.9209594726562,1129.9324035644531,0.696,3558.0
49,1129.0054321289062,1129.0168762207031,0.677,4038.0
50,1126.9912719726562,1127.0027160644531,0.577,5094.0
51,1126.9683837890625,1126.9798278808594,0.842,5106.0
52,1126.8310546875,1126.8424987792969,0.534,5178.0
53,1126.7738342285156,1126.7852783203125,0.859,5208.0
54,1126.6937255859375,1126.7051696777344,0.566,5250.0
55,1126.6136169433594,1126.6250610351562,0.631,5292.0
56,1126.0643005371094,1126.0757446289062,0.762,5580.0
57,1120.2049255371094,1120.2163696289062,0.758,8652.0
58,1114.0937805175781,1114.105224609375,0.856,11856.0
59,1113.9907836914062,1114.0022277832031,0.747,11910.0
60,1113.9793395996094,1113.9907836914062,0.889,11916.0
61,1112.1025085449219,1112.1139526367188,0.576,12900.0
62,1111.907958984375,1111.9194030761719,0.513,13002.0
63,1108.3831787109375,1108.3946228027344,0.575,14850.0
64,1105.9112548828125,1105.9226989746094,0.522,16146.0
65,1105.0643920898438,1105.0758361816406,0.624,16590.0
66,1104.1145324707031,1104.1259765625,0.561,17088.0
67,1103.1074523925781,1103.118896484375,0.552,17616.0
68,1100.8186340332031,1100.830078125,0.685,18816.0
69,1094.7990417480469,1094.8104858398438,0.639,21972.0
70,1091.6061401367188,1091.6175842285156,0.514,23646.0
71,1090.0726318359375,1090.0840759277344,0.506,24450.0
72,1090.0382995605469,1090.0497436523438,0.639,24468.0
73,1090.02685546875,1090.0382995605469,0.791,24474.0
74,1089.3516540527344,1089.3630981445312,0.658,24828.0
75,1089.0083312988281,1089.019775390625,0.538,25008.0
76,1087.9325866699219,1087.9440307617188,0.69,25572.0
77,1087.8524780273438,1087.8639221191406,0.727,25614.0
78,1087.8410339355469,1087.8524780273438,0.65,25620.0
79,1087.0857238769531,1087.09716796875,0.7,26016.0
80,1192.5315856933594,1192.5430297851562,0.514,300.0
81,1192.1424865722656,1192.1539306640625,0.752,504.0
82,1191.5817260742188,1191.5931701660156,0.591,798.0
83,1191.2612915039062,1191.2727355957031,0.614,966.0
84,1191.1582946777344,1191.1697387695312,0.581,1020.0
85,1191.1125183105469,1191.1239624023438,0.641,1044.0
86,1191.0324096679688,1191.0438537597656,0.631,1086.0
87,1189.8765563964844,1189.8880004882812,0.627,1692.0
88,1184.1773986816406,1184.1888427734375,0.53,4680.0
89,1183.9141845703125,1183.9256286621094,0.524,4818.0
90,1183.6395263671875,1183.6509704589844,0.546,4962.0
91,1183.5823059082031,1183.59375,0.536,4992.0
92,1183.502197265625,1183.5136413574219,0.554,5034.0
93,1183.4564208984375,1183.4678649902344,0.509,5058.0
94,1183.2847595214844,1183.2962036132812,0.724,5148.0
95,1183.2504272460938,1183.2618713378906,0.727,5166.0
96,1183.04443359375,1183.0558776855469,0.529,5274.0
97,1182.9299926757812,1182.9414367675781,0.598,5334.0
98,1182.7926635742188,1182.8041076660156,0.846,5406.0
99,1182.7239990234375,1182.7354431152344,0.569,5442.0
100,1182.6095581054688,1182.6210021972656,0.504,5502.0
